LUID	Date	Hour	Instances
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	8	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	9	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	10	117
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	11	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	12	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	13	118
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	14	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	15	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	16	118
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	17	118
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-05	18	62
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-06	12	67
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-06	13	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-06	14	118
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-06	15	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-06	16	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-06	17	112
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-06	18	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-06	19	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-06	20	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-06	21	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-06	22	11
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-06	23	64
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	0	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	1	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	2	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	3	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	4	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	5	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	6	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	7	117
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	8	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	9	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	10	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	11	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	12	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	13	114
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-07	14	12
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	8	6
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	9	119
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	10	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	11	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	12	116
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	13	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	14	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	15	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	16	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	17	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	18	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	19	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	20	117
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-08	21	83
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-11	8	19
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-11	9	118
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-11	10	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-11	11	114
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-11	12	120
015bfdc1faa2cfc824966fb38fdaaf2043caaa9efd49ae04b303132b6ef31cea	2017-12-11	13	120
