LineNo,LUID,Date,Latitude,Longitude,Floor,BuildingID,Time
215,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:12:15
216,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:12:34
217,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:12:45
218,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:13:05
219,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:13:15
220,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:13:45
221,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:14:06
222,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:14:15
223,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:14:48
224,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:14:51
225,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:15:18
226,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:15:33
227,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:15:48
228,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:16:16
229,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:16:18
230,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:16:48
231,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:17:18
232,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:17:48
233,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:18:01
234,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:18:19
235,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99232153602164,-76.94211627929063,5,98,17:18:50
236,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:19:21
237,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:19:51
238,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:20:21
239,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:20:51
240,1492af36de54453fc77dd88b5d7e13e4636d08ef916c1c286be76392c16a8ed3,2018-02-09,38.99233814781998,-76.94214315112623,7,98,17:20:58
